Latitude,Longitude
30.007914,31.164686
30.007963,31.164812
30.008003,31.164951
30.008049,31.165033
30.008078,31.165152
30.008163,31.165281
30.008205,31.165314
30.00824, 31.16539
30.008314,31.16538 
30.008339,31.165354
30.008394,31.16534
